source_id,title,url,source_type,access_status,access_date,limitations
S01,Intercom pricing,https://www.intercom.com/pricing,official_pricing,opened,2026-09-07,Dynamic public USD pricing not a total-cost quote
S02,Fin Procedures,https://fin.ai/procedures,official_product,opened,2026-09-07,Product capabilities and selected testimony not measured implementation effort
S03,Synthesia customer case,https://fin.ai/customers/synthesia,vendor_hosted_customer_case,opened,2026-09-07,Historical 2024 case with knowledge-base intervention and no controlled attribution
S04,Zendesk pricing,https://www.zendesk.com/au/pricing/,official_pricing,opened,2026-09-07,AU localized page explicitly denominates amounts in USD
S05,Zendesk resolution tiers,https://support.zendesk.com/hc/en-us/articles/9570369117338-About-automated-resolution-tiers,official_billing_help,opened,2026-09-07,Vendor LLM verifies transcript not independent business completion
S06,Zendesk reporting change,https://support.zendesk.com/hc/en-us/articles/10677925692698-Announcing-changes-to-AI-agent-reporting,official_reporting_help,opened,2026-09-07,New numerator and historical remapping require consistent comparisons
S07,Zendesk resolution allowances,https://support.zendesk.com/hc/en-us/articles/10479528943130-Upgrading-from-automated-resolutions-to-resolution-allowances,official_billing_help,opened,2026-09-07,Invoice prices are placeholders; transition and contracts vary
S08,SeatGeek customer case,https://www.zendesk.com/customer/seatgeek/,vendor_hosted_customer_case,indexed_official_full_text_read,2026-09-07,US and UK direct URL 410; official indexed full text available; Q2 2025 not new-tier measurement
S09,Forethought availability,https://support.zendesk.com/hc/en-us/articles/10850639885082-Announcing-Forethought-AI-agents-by-Zendesk-for-customers,official_announcement,opened,2026-09-07,Separate paid add-on and external-platform option from June 4
S10,Agentforce pricing,https://www.salesforce.com/agentforce/pricing/,official_pricing,opened,2026-09-07,USD list units not total cost; different buying models and action types
S11,Help Agent pricing,https://www.salesforce.com/service/customer-self-service/pricing/,official_pricing,opened,2026-09-07,Unmetered actions and Data360 queries per resolution not blanket all-cost inclusion
S12,Help Agent billable usage,https://help.salesforce.com/s/articleView?id=service.service_cloud_billable_usage_types.htm&language=en_US&type=5,official_billing_help,opened_target_section,2026-09-07,Billing window and feedback rules not independent durable resolution proof
S13,Engine customer case,https://www.salesforce.com/customer-stories/engine/agentic-service/,vendor_hosted_customer_case,opened,2026-09-07,June 4 vendor-hosted outcomes; chat-only denominator and no control group
S14,Salesforce FY27 Q2 results,https://www.salesforce.com/news/press-releases/2026/08/26/fy27-q2-earnings/,official_financial_disclosure,opened,2026-09-07,Aug 26 scope includes Slackbot and Headless360; Fin pending then not a verified Sep7 closing
S15,Fin acquisition agreement,https://www.salesforce.com/uk/news/press-releases/2026/06/15/salesforce-signs-definitive-agreement-to-acquire-fin/,official_announcement,indexed_official_full_text_read,2026-09-07,June estimate superseded by Aug26 timing; proposed transaction not product integration
S16,Generative AI at Work v2,https://arxiv.org/html/2304.11771v2,independent_primary_research,arxiv_html_body_and_sample_table_opened,2026-09-07,5172 total1636 postAI; heterogeneous quality effects; assistance to humans not autonomous vendor comparison
